,trigger,word,pos,sess,sent_num,filename,len,freq,sess_id,prev_pos,next_pos,prev_freq,next_freq,prev_len,next_len,sent_ident
3,1,i,PRON,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,1,7.11,session0_files0-11_triggers_processed.txt,SENT_START,VERB,0.0,4.9,0.0,5.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
4,2,doubt,VERB,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,5,4.9,session0_files0-11_triggers_processed.txt,PRON,DET,7.11,7.77,1.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
5,3,the,DET,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,7.77,session0_files0-11_triggers_processed.txt,VERB,ADV,4.9,5.98,5.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
6,4,very,ADV,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,5.98,session0_files0-11_triggers_processed.txt,DET,ADJ,7.77,5.57,3.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
7,5,few,ADJ,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,5.57,session0_files0-11_triggers_processed.txt,ADV,PRON,5.98,6.35,4.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
8,6,who,PRON,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,3,6.35,session0_files0-11_triggers_processed.txt,ADJ,ADV,5.57,5.44,3.0,8.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
9,7,actually,ADV,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,8,5.44,session0_files0-11_triggers_processed.txt,PRON,VERB,6.35,5.49,3.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
10,8,read,VERB,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,5.49,session0_files0-11_triggers_processed.txt,ADV,PRON,5.44,6.56,8.0,2.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
11,9,my,PRON,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,2,6.56,session0_files0-11_triggers_processed.txt,VERB,NOUN,5.49,4.61,4.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
12,10,blog,NOUN,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,4.61,session0_files0-11_triggers_processed.txt,PRON,AUX,6.56,6.7,2.0,4.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
13,11,have,AUX,sess_0,sent_0,weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt,4,6.7,session0_files0-11_triggers_processed.txt,NOUN,PART,4.61,6.71,4.0,3.0,sess_0_weblog-blogspot.com_floppingaces_20041126180010_ENG_20041126_180010.txt_sent_0
